Feature,Importance
Total day minutes,0.2394940587008784
Customer service calls,0.12669045560042178
International plan,0.09313726247926851
Total eve minutes,0.09274674883328675
Total intl minutes,0.07771741106314473
Total intl calls,0.06858990672912468
Total night minutes,0.0650546858161829
Total day calls,0.05200674979916994
Total night calls,0.05165440138556653
Account length,0.047826542028350315
Total eve calls,0.047057275817538644
Number vmail messages,0.024131583970287494
Voice mail plan,0.013892917776779328
